"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000029392",4852.52373918582,-0.210985781691534,0.0628874395113114,-3.35497490963333,0.000793721831566208,0.238291078959032,"Rilpl1"
"ENSMUSG00000038375",11611.4224924717,-0.142824857474391,0.0426061448949544,-3.35221264037208,0.000801684181054095,0.238291078959032,"Trp53inp2"
"ENSMUSG00000001089",8245.72636027284,-0.252039932638439,0.0753131185932225,-3.34656082959125,0.000818207253963748,0.238360336002923,"Luzp1"
"ENSMUSG00000105284",4.82010980415792,3.4131519261991,1.02136287674791,3.34176227068955,0.000832483272496792,NA,"Gm42693"
"ENSMUSG00000030878",751.973249958211,-0.252242641979011,0.0757376667087112,-3.33047812192502,0.000866969762841494,0.238360336002923,"Cdr2"
"ENSMUSG00000054178",661.223772251916,-0.224970088850577,0.0675761825509425,-3.32913284471172,0.000871168410582445,0.238360336002923,"ENSMUSG00000054178"
"ENSMUSG00000074796",153.029787185275,0.431419451730792,0.129599056171479,3.32887803719773,0.00087196579249658,0.238360336002923,"Slc4a11"
"ENSMUSG00000035226",7308.88881825345,-0.178858624761239,0.05374444146485,-3.32794647941809,0.000874886725677905,0.238360336002923,"Rims4"
"ENSMUSG00000040280",109.968769135222,0.441377023946609,0.133173458994005,3.31430171808091,0.000918723135841813,0.238360336002923,"Ndufa4l2"
"ENSMUSG00000039830",984.527389180725,-0.22774625279893,0.0687296107027425,-3.31365550408744,0.000920848859760225,0.238360336002923,"Olig2"
"ENSMUSG00000054690",437.837999145511,-0.297518702641659,0.0898487810616023,-3.31132708898604,0.000928546044982124,0.238360336002923,"Emcn"
"ENSMUSG00000021713",683.536599598735,-0.217485493702617,0.0657227627450828,-3.3091349879215,0.000935847047209862,0.238360336002923,"Ppwd1"
"ENSMUSG00000016179",4331.59010293406,-0.151601286460442,0.0458558496042402,-3.30604029297984,0.000946244795058417,0.238360336002923,"Camk1g"
"ENSMUSG00000015501",32599.1641888086,-0.137493192943573,0.041698531635993,-3.29731497847021,0.00097613964559699,0.238360336002923,"Hivep2"
"ENSMUSG00000042213",393.643991341968,0.27526156257995,0.0835968689822932,3.29272574357125,0.000992212090486175,0.238360336002923,"Zfand4"
"ENSMUSG00000036273",7412.36667145307,-0.160024804426994,0.0486523826149495,-3.28914630334718,0.00100491772611269,0.238360336002923,"Lrrk2"
"ENSMUSG00000048015",64.9500117393766,-0.564057932988954,0.171491088552519,-3.28913844882507,0.00100494577151116,0.238360336002923,"Neurod4"
"ENSMUSG00000033581",28.8056432694146,1.03018874011618,0.313215091122978,3.28907759974981,0.0010051630640938,0.238360336002923,"Igf2bp2"
"ENSMUSG00000031027",43.4315741866281,0.904050220590366,0.275315831718759,3.28368410543813,0.00102459697880956,0.238360336002923,"Stk33"
"ENSMUSG00000038044",5.15656452350559,-2.63431485629969,0.803924321658443,-3.27681945343472,0.00104983477117463,NA,"Cct8l1"
"ENSMUSG00000102764",5.11243192482154,-2.41369113625942,0.737304687735358,-3.27366850694128,0.00106161072060028,NA,"Gm37183"
"ENSMUSG00000020037",873.242895690061,-0.23138415138414,0.0707127374398011,-3.27217075397655,0.00106725097596449,0.238360336002923,"Rfx4"
"ENSMUSG00000025813",9615.76293513086,-0.157451132399866,0.048138330647743,-3.27080582731524,0.00107241516232541,0.238360336002923,"Homer2"
"ENSMUSG00000041670",24223.2456292004,-0.11695622887161,0.0357595048766039,-3.27063334000828,0.00107306940889084,0.238360336002923,"Rims1"
"ENSMUSG00000021224",4064.07825594511,-0.146369670509522,0.0447724847010168,-3.26918801775139,0.00107856606077136,0.238360336002923,"Numb"
