"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000106734",156.465768793194,0.694575927322421,0.274177650561338,2.53330614621717,0.011299221937464,0.999972122235056,"Gm20559"
"ENSMUSG00000100337",3.83814670454484,3.11521111393665,1.2350315525054,2.52237370585157,0.0116565798984944,0.999972122235056,"Gm5066"
"ENSMUSG00000027387",575.297880444325,0.263113441240035,0.104369040124877,2.52099129133718,0.0117024748287775,0.999972122235056,"Zc3h8"
"ENSMUSG00000052605",204.552349907866,-0.465691863571863,0.18483305381806,-2.51952696745608,0.011751263834073,0.999972122235056,"Isoc2b"
"ENSMUSG00000073144",6.10187014596735,2.21708289714717,0.879979592567145,2.51947081031655,0.0117531384900182,0.999972122235056,"4930599N23Rik"
"ENSMUSG00000036833",736.255959830804,-0.240700130996618,0.0955876889354825,-2.5181080709994,0.0117987112921651,0.999972122235056,"Pnpla7"
"ENSMUSG00000102630",17.7656622850909,1.20411636226704,0.478654220260846,2.51562884290637,0.0118820238370494,0.999972122235056,"Gm37289"
"ENSMUSG00000002565",16.0286727961793,-1.53986238994714,0.612351364299745,-2.51467128142688,0.0119143413364482,0.999972122235056,"Scin"
"ENSMUSG00000091542",18.0261508614527,1.32827663794798,0.529987531720741,2.50624129521573,0.012202231599165,0.999972122235056,"Gm17167"
"ENSMUSG00000102759",5.3810516715085,2.00115314356709,0.798689865886192,2.50554467890574,0.0122262950395969,0.999972122235056,"Gm10463"
"ENSMUSG00000104213",42.1014023066752,-0.901946464655262,0.360138377617784,-2.50444418232067,0.0122643955303511,0.999972122235056,"Ighd"
"ENSMUSG00000032204",141.746289824929,-0.459368707826119,0.183546912766899,-2.5027318678441,0.012323887064587,0.999972122235056,"Aqp9"
"ENSMUSG00000053442",14.9010533131371,1.30972905745407,0.523567310935297,2.50154856901662,0.0123651480566454,0.999972122235056,"4930597O21Rik"
"ENSMUSG00000020836",879.055082483675,0.479493265770786,0.192062052836136,2.49655389333926,0.0125406610946924,0.999972122235056,"Coro6"
"ENSMUSG00000104459",4.93453691306389,-1.78656121157984,0.716412112810838,-2.49376187201844,0.012639730930658,0.999972122235056,"Gm37824"
"ENSMUSG00000026880",826.5065338785,-0.22752005771734,0.0913027087505693,-2.49193108102525,0.0127050687470844,0.999972122235056,"Stom"
"ENSMUSG00000057818",93.8779895460229,0.539478071414054,0.2170385624582,2.4856323470994,0.0129321491043065,0.999972122235056,"1600029O15Rik"
"ENSMUSG00000083670",141.712666986384,0.536618763525208,0.215974899143032,2.48463486106237,0.0129684376627635,0.999972122235056,"Gm6829"
"ENSMUSG00000087478",129.874577195929,0.379788222493641,0.152957496512495,2.48296573331152,0.013029362062889,0.999972122235056,"4930506C21Rik"
"ENSMUSG00000039193",11.8464702446804,1.27135244565301,0.512118431000046,2.48253600865401,0.0130450882519488,0.999972122235056,"Nlrc4"
"ENSMUSG00000106988",12.8459163266196,1.32514652149924,0.534493723408706,2.47925553371925,0.0131656946739259,0.999972122235056,"Tsg101-ps"
"ENSMUSG00000085582",32.0442624691642,1.55784790412937,0.628851589193558,2.47729023970053,0.013238419903804,0.999972122235056,"3110099E03Rik"
"ENSMUSG00000033007",2790.20618527854,-0.236803005369537,0.0956486678232411,-2.47575853128607,0.0132953464421334,0.999972122235056,"Asic4"
"ENSMUSG00000039246",347.311703424859,-0.239524973242997,0.0970390236845913,-2.46833659437395,0.0135742611819872,0.999972122235056,"Lyplal1"
"ENSMUSG00000021852",1044.45547215316,0.249723116626853,0.101346684315652,2.46404821542135,0.0137377630027681,0.999972122235056,"Slc35f4"
"ENSMUSG00000028730",176.788461559654,-0.487627994694845,0.198021965948797,-2.46249446296747,0.0137974303267769,0.999972122235056,"Cfap57"
"ENSMUSG00000048756",5865.30824918329,-0.174497266905516,0.0709429331344247,-2.45968497771122,0.0139059016208743,0.999972122235056,"Foxo3"
"ENSMUSG00000034758",79.405786712862,-0.638754532406609,0.259857570575465,-2.4580947593409,0.0139676313786142,0.999972122235056,"Tle6"
"ENSMUSG00000083674",278.807688363457,-0.290705919448235,0.118278074088078,-2.45781749229156,0.0139784191760044,0.999972122235056,"Zfp133-ps"
